ツイート本文,ツイート本文_x,時間,media_exist,reply_flg,URLクリック数,いいね,リツイート,インプレッション,エンゲージメント,エンゲージメント率,ハッシュタグクリック,フォローしている,メディアのエンゲージメント数,メディアの再生数,ユーザープロフィールクリック,詳細クリック,返信,文字数,YMD,YEAR,MONTH,DAY,TIME,WEEKDAY,WEEK
あったかいベッド🛌 https://t.co/2iuMQJeci9,あったかいベッド🛌 ,2021-03-04 06:26:00+00:00,True,False,2.0,216.0,3.0,2483.0,346.0,0.139347563431333,0.0,0,46,455,42.0,37.0,0.0,10,20210304,2021,3,4,6,3,9
散歩🐶 https://t.co/oq05hDk4Cn,散歩🐶 ,2021-03-03 13:45:00+00:00,True,False,1.0,164.0,5.0,1681.0,232.0,0.1380130874479476,0.0,0,27,376,16.0,19.0,0.0,4,20210303,2021,3,3,13,2,9
"膝の上でぬくぬく☺️
ぷいッ😑 https://t.co/nNBtgOYqz2",膝の上でぬくぬく☺️ ぷいッ😑 ,2021-02-27 10:02:00+00:00,True,False,3.0,190.0,4.0,2156.0,300.0,0.1391465677179963,0.0,0,31,449,27.0,44.0,1.0,16,20210227,2021,2,27,10,5,8
おだんごの上より https://t.co/jPFSZSvlKf,おだんごの上より ,2021-02-26 15:07:00+00:00,True,False,4.0,190.0,2.0,1889.0,268.0,0.1418740074113287,0.0,0,33,419,15.0,23.0,1.0,9,20210226,2021,2,26,15,4,8
みるくは鼻の質感と歯がリアルなぬいぐるみでした🧸 https://t.co/UfywwEEyaH https://t.co/U907lheXuz,みるくは鼻の質感と歯がリアルなぬいぐるみでした🧸  ,2021-02-25 14:48:00+00:00,True,False,0.0,52.0,0.0,1364.0,112.0,0.0821114369501466,0.0,0,43,43,7.0,10.0,0.0,26,20210225,2021,2,25,14,3,8
膝の上が暖かくて眠くなります🥱 https://t.co/460MPniAd1,膝の上が暖かくて眠くなります🥱 ,2021-02-25 14:45:00+00:00,True,False,1.0,126.0,3.0,1452.0,200.0,0.1377410468319559,0.0,1,37,342,17.0,15.0,0.0,16,20210225,2021,2,25,14,3,8
フルーツちょうだい！🍓 https://t.co/AokX273jWy,フルーツちょうだい🍓 ,2021-02-24 13:24:00+00:00,True,False,2.0,177.0,6.0,2241.0,284.0,0.1267291387773315,0.0,0,52,448,30.0,17.0,0.0,11,20210224,2021,2,24,13,2,8
すやすや😴 https://t.co/cWIS2RqAeS,すやすや😴 ,2021-02-23 13:04:00+00:00,True,False,1.0,280.0,1.0,2753.0,394.0,0.143116600072648,0.0,0,42,721,25.0,45.0,0.0,6,20210223,2021,2,23,13,1,8
"こんばんは。
ネコ目（肉食目）イヌ亜目イヌ下目イヌ科イヌ亜科イヌ属タイリクオオカミ種イエイヌ亜種トイプードルのみるくです。 https://t.co/MMknC6hZIP",こんばんは。 ネコ目肉食目イヌ亜目イヌ下目イヌ科イヌ亜科イヌ属タイリクオオカミ種イエイヌ亜種トイプードルのみるくです。 ,2021-02-21 10:01:00+00:00,True,False,0.0,142.0,5.0,1411.0,205.0,0.1452870304748405,0.0,0,28,372,16.0,14.0,0.0,60,20210221,2021,2,21,10,6,7
トントンされる役やるの可愛すぎる😆 https://t.co/SSvElfASUw,トントンされる役やるの可愛すぎる😆 ,2021-02-20 19:31:00+00:00,True,False,0.0,38.0,1.0,1052.0,56.0,0.053231939163498,0.0,0,0,0,7.0,10.0,0.0,18,20210220,2021,2,20,19,5,7
世界一好きな言葉は「散歩行こっか」です🐶 https://t.co/cbeqfq2t8V,世界一好きな言葉は「散歩行こっか」です🐶 ,2021-02-20 07:37:00+00:00,True,False,3.0,260.0,7.0,3257.0,501.0,0.1538225360761436,0.0,0,126,757,30.0,72.0,3.0,21,20210220,2021,2,20,7,5,7
@yn201803 そうなんです！みるくも技術が上がってきました😄, そうなんですみるくも技術が上がってきました😄,2021-02-19 12:11:00+00:00,False,True,0.0,1.0,0.0,11.0,1.0,0.0909090909090909,0.0,0,0,0,0.0,0.0,0.0,23,20210219,2021,2,19,12,4,7
ちょうど良いあご置き。ここあったかいし。の図 https://t.co/5OMQMc8gNR,ちょうど良いあご置き。ここあったかいし。の図 ,2021-02-19 12:00:00+00:00,True,False,0.0,186.0,4.0,1710.0,292.0,0.1707602339181286,0.0,0,46,466,37.0,19.0,0.0,23,20210219,2021,2,19,12,4,7
@shiba_koume0417 こちらこそ宜しくお願いします🤲, こちらこそ宜しくお願いします🤲,2021-02-19 11:05:00+00:00,False,True,0.0,1.0,0.0,12.0,1.0,0.0833333333333333,0.0,0,0,0,0.0,0.0,0.0,16,20210219,2021,2,19,11,4,7
@YFRPq0gxMehU1bp 嬉しい時は取れそうなくらいシッポ振ります😆, 嬉しい時は取れそうなくらいシッポ振ります😆,2021-02-19 06:02:00+00:00,False,True,0.0,2.0,0.0,27.0,2.0,0.074074074074074,0.0,0,0,0,0.0,0.0,0.0,22,20210219,2021,2,19,6,4,7
"@nao2witter よろしくお願いします😆
いつも全力で遊んでます🤩", よろしくお願いします😆 いつも全力で遊んでます🤩,2021-02-18 13:34:00+00:00,False,True,0.0,1.0,0.0,40.0,1.0,0.025,0.0,0,0,0,0.0,0.0,0.0,25,20210218,2021,2,18,13,3,7
@53OalNR0CRl0pJJ こちらこそ宜しくお願いします🤲, こちらこそ宜しくお願いします🤲,2021-02-18 13:33:00+00:00,False,True,0.0,1.0,0.0,25.0,2.0,0.08,0.0,0,0,0,1.0,0.0,0.0,16,20210218,2021,2,18,13,3,7
前足触られたら負けゲーム https://t.co/XKVNqSfUPe,前足触られたら負けゲーム ,2021-02-18 11:17:00+00:00,True,False,2.0,218.0,5.0,2447.0,422.0,0.1724560686554965,0.0,0,105,595,36.0,52.0,4.0,13,20210218,2021,2,18,11,3,7
