ツイート本文,ツイート本文_x,時間,いいね,リツイート,インプレッション,エンゲージメント,エンゲージメント率,返信,ユーザープロフィールクリック,URLクリック数,ハッシュタグクリック,詳細クリック,フォローしている,メディアの再生数,メディアのエンゲージメント数,media_exist,reply_flg,文字数,YMD,YEAR,MONTH,DAY,TIME,WEEKDAY,WEEK
膝の上が暖かくて眠くなります🥱 https://t.co/460MPniAd1,膝の上が暖かくて眠くなります🥱 ,2021-02-25 14:45:00+00:00,126.0,3.0,1452.0,200.0,0.1377410468319559,0.0,17.0,1.0,0.0,15.0,1,342,37,True,False,16,20210225,2021,2,25,14,3,8
フルーツちょうだい！🍓 https://t.co/AokX273jWy,フルーツちょうだい🍓 ,2021-02-24 13:24:00+00:00,177.0,6.0,2241.0,284.0,0.1267291387773315,0.0,30.0,2.0,0.0,17.0,0,448,52,True,False,11,20210224,2021,2,24,13,2,8
すやすや😴 https://t.co/cWIS2RqAeS,すやすや😴 ,2021-02-23 13:04:00+00:00,280.0,1.0,2753.0,394.0,0.143116600072648,0.0,25.0,1.0,0.0,45.0,0,721,42,True,False,6,20210223,2021,2,23,13,1,8
"こんばんは。
ネコ目（肉食目）イヌ亜目イヌ下目イヌ科イヌ亜科イヌ属タイリクオオカミ種イエイヌ亜種トイプードルのみるくです。 https://t.co/MMknC6hZIP",こんばんは。 ネコ目肉食目イヌ亜目イヌ下目イヌ科イヌ亜科イヌ属タイリクオオカミ種イエイヌ亜種トイプードルのみるくです。 ,2021-02-21 10:01:00+00:00,142.0,5.0,1411.0,205.0,0.1452870304748405,0.0,16.0,0.0,0.0,14.0,0,372,28,True,False,60,20210221,2021,2,21,10,6,7
トントンされる役やるの可愛すぎる😆 https://t.co/SSvElfASUw,トントンされる役やるの可愛すぎる😆 ,2021-02-20 19:31:00+00:00,38.0,1.0,1052.0,56.0,0.053231939163498,0.0,7.0,0.0,0.0,10.0,0,0,0,True,False,18,20210220,2021,2,20,19,5,7
世界一好きな言葉は「散歩行こっか」です🐶 https://t.co/cbeqfq2t8V,世界一好きな言葉は「散歩行こっか」です🐶 ,2021-02-20 07:37:00+00:00,260.0,7.0,3257.0,501.0,0.1538225360761436,3.0,30.0,3.0,0.0,72.0,0,757,126,True,False,21,20210220,2021,2,20,7,5,7
@yn201803 そうなんです！みるくも技術が上がってきました😄, そうなんですみるくも技術が上がってきました😄,2021-02-19 12:11:00+00:00,1.0,0.0,11.0,1.0,0.0909090909090909,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,23,20210219,2021,2,19,12,4,7
ちょうど良いあご置き。ここあったかいし。の図 https://t.co/5OMQMc8gNR,ちょうど良いあご置き。ここあったかいし。の図 ,2021-02-19 12:00:00+00:00,186.0,4.0,1710.0,292.0,0.1707602339181286,0.0,37.0,0.0,0.0,19.0,0,466,46,True,False,23,20210219,2021,2,19,12,4,7
@shiba_koume0417 こちらこそ宜しくお願いします🤲, こちらこそ宜しくお願いします🤲,2021-02-19 11:05:00+00:00,1.0,0.0,12.0,1.0,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,16,20210219,2021,2,19,11,4,7
@YFRPq0gxMehU1bp 嬉しい時は取れそうなくらいシッポ振ります😆, 嬉しい時は取れそうなくらいシッポ振ります😆,2021-02-19 06:02:00+00:00,2.0,0.0,27.0,2.0,0.074074074074074,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,22,20210219,2021,2,19,6,4,7
