ツイート本文,ツイート本文_x,時間,いいね,リツイート,インプレッション,エンゲージメント,エンゲージメント率,返信,ユーザープロフィールクリック,URLクリック数,ハッシュタグクリック,詳細クリック,フォローしている,メディアの再生数,メディアのエンゲージメント数,media_exist,reply_flg,文字数,YMD,YEAR,MONTH,DAY,TIME,WEEKDAY,WEEK
"@vTDAFxDB8DVI6mw わざわざ写真まで付けていただいてありがとうございます🥺
可愛いです🥰
今度病院行った時に目薬先生に伝えてみようと思います😊", わざわざ写真まで付けていただいてありがとうございます🥺 可愛いです🥰 今度病院行った時に目薬先生に伝えてみようと思います😊,2020-06-13 07:29:00+00:00,1.0,1.0,29.0,5.0,0.1724137931034483,1.0,0.0,0.0,0.0,2.0,0,0,0,False,True,62,20200613,2020,6,13,7,5,24
"@vTDAFxDB8DVI6mw そうなんですね!!
コメントありがとうございます💞
凄くためになります!
みるくにも目薬試してみようと思います☺️", そうなんですね コメントありがとうございます💞 凄くためになります みるくにも目薬試してみようと思います☺️,2020-06-13 07:11:00+00:00,1.0,1.0,69.0,7.0,0.1014492753623188,3.0,0.0,0.0,0.0,2.0,0,0,0,False,True,55,20200613,2020,6,13,7,5,24
その他の方はコメントにお願いします😊,その他の方はコメントにお願いします😊,2020-06-13 06:57:00+00:00,5.0,0.0,660.0,19.0,0.0287878787878787,2.0,6.0,0.0,0.0,6.0,0,0,0,False,False,18,20200613,2020,6,13,6,5,24
"ワンちゃんを買ってる方に質問させてください！ペットフードを買うとき何に重点を置いてますか？

今まではみるくが良く食べるものを選んでたんですが、最近涙焼けがひどいので、涙焼けしないものを選ぼうか迷ってます🧐",ワンちゃんを買ってる方に質問させてくださいペットフードを買うとき何に重点を置いてますか  今まではみるくが良く食べるものを選んでたんですが、最近涙焼けがひどいので、涙焼けしないものを選ぼうか迷ってます🧐,2020-06-13 06:54:00+00:00,26.0,2.0,1675.0,197.0,0.1176119402985074,7.0,45.0,0.0,0.0,81.0,0,0,0,False,False,101,20200613,2020,6,13,6,5,24
"さっきはツイキャスに来てくださって皆さんありがとうございます🥰
今度、公園やドッグランなどお外キャスができたらいいな〜なんて思っています💞
またするので是非遊びに来てください☺️",さっきはツイキャスに来てくださって皆さんありがとうございます🥰 今度、公園やドッグランなどお外キャスができたらいいな〜なんて思っています💞 またするので是非遊びに来てください☺️,2020-06-13 04:00:00+00:00,24.0,0.0,721.0,67.0,0.0929264909847434,0.0,29.0,0.0,0.0,14.0,0,0,0,False,False,89,20200613,2020,6,13,4,5,24
モイ！iPhoneからキャス配信中 -みるくと戯れます🐶 https://t.co/8ScaJsnXoA,モイからキャス配信中 みるくと戯れます🐶 ,2020-06-13 03:12:00+00:00,8.0,0.0,374.0,29.0,0.0775401069518716,0.0,7.0,13.0,0.0,1.0,0,0,0,True,False,21,20200613,2020,6,13,3,5,24
モイ！iPhoneからキャス配信中 -みるくと戯れます🐶 https://t.co/UjZ0G1yK7T,モイからキャス配信中 みるくと戯れます🐶 ,2020-06-13 02:41:00+00:00,19.0,0.0,536.0,72.0,0.1343283582089552,0.0,22.0,19.0,0.0,12.0,0,0,0,True,False,21,20200613,2020,6,13,2,5,24
モイ！iPhoneからキャス配信中 -みるくと戯れます🐶 https://t.co/j7IbfzsSCz,モイからキャス配信中 みるくと戯れます🐶 ,2020-06-13 02:40:00+00:00,7.0,0.0,420.0,54.0,0.1285714285714285,0.0,21.0,16.0,0.0,10.0,0,0,0,True,False,21,20200613,2020,6,13,2,5,24
"@buttyandroro 可愛すぎだなんて😆コメントすごく嬉しいです！🥰
ありがとうございます😊", 可愛すぎだなんて😆コメントすごく嬉しいです🥰 ありがとうございます😊,2020-06-06 04:16:00+00:00,1.0,0.0,29.0,3.0,0.1034482758620689,0.0,0.0,0.0,0.0,2.0,0,0,0,False,True,35,20200606,2020,6,6,4,5,23
"Σ(ﾟ∀´(ω･`　)ｶﾞﾌﾞ
#犬好きさんと繋がりたい https://t.co/AQL2EBbG41",Σﾟ∀´ω･　ｶﾞﾌﾞ 犬好きさんと繋がりたい ,2020-06-05 15:15:00+00:00,274.0,5.0,3257.0,479.0,0.1470678538532391,0.0,41.0,3.0,5.0,70.0,0,936,81,True,False,24,20200605,2020,6,5,15,4,23
"ドヤ顔みるくさん🐶
#犬好きさんと繋がりたい https://t.co/SLvdrU06Z1",ドヤ顔みるくさん🐶 犬好きさんと繋がりたい ,2020-06-05 09:38:00+00:00,301.0,5.0,3769.0,558.0,0.1480498806049349,2.0,74.0,2.0,0.0,25.0,0,149,149,True,False,22,20200605,2020,6,5,9,4,23
"@bari19191 こちらこそありがとうございます💞
元気いっぱいな毎日をお過ごしください☺️
よろしくお願い致します💞", こちらこそありがとうございます💞 元気いっぱいな毎日をお過ごしください☺️ よろしくお願い致します💞,2020-05-31 08:21:00+00:00,1.0,0.0,61.0,2.0,0.0327868852459016,0.0,1.0,0.0,0.0,0.0,0,0,0,False,True,51,20200531,2020,5,31,8,6,22
@hitomin_rabi 起きる時はひょこっと起きるので最強の首をお持ちみたいです🤣🤣, 起きる時はひょこっと起きるので最強の首をお持ちみたいです🤣🤣,2020-05-31 08:19:00+00:00,1.0,0.0,39.0,2.0,0.0512820512820512,1.0,0.0,0.0,0.0,0.0,0,0,0,False,True,31,20200531,2020,5,31,8,6,22
"@Julie64Sunshine こちらこそありがとうございます💞
よろしくお願い致します🥰", こちらこそありがとうございます💞 よろしくお願い致します🥰,2020-05-31 08:19:00+00:00,1.0,0.0,24.0,2.0,0.0833333333333333,0.0,0.0,0.0,0.0,1.0,0,0,0,False,True,30,20200531,2020,5,31,8,6,22
"@yYhjzYaeRtpUUXx こちらこそありがとうございます💞
仲良くしていただけたら嬉しいです🥰", こちらこそありがとうございます💞 仲良くしていただけたら嬉しいです🥰,2020-05-31 08:19:00+00:00,1.0,0.0,32.0,1.0,0.03125,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,35,20200531,2020,5,31,8,6,22
"@pikuru_chan 一緒ですね🥰
可愛いです💞", 一緒ですね🥰 可愛いです💞,2020-05-31 04:29:00+00:00,1.0,0.0,26.0,1.0,0.0384615384615384,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,14,20200531,2020,5,31,4,6,22
@aY6PQnUcPuk2Aad 可愛いです☺️, 可愛いです☺️,2020-05-31 04:29:00+00:00,0.0,0.0,26.0,1.0,0.0384615384615384,0.0,1.0,0.0,0.0,0.0,0,0,0,False,True,8,20200531,2020,5,31,4,6,22
@2x9YLvkNuwERvsT 可愛いんですけどね😂, 可愛いんですけどね😂,2020-05-31 04:28:00+00:00,1.0,0.0,35.0,3.0,0.0857142857142857,0.0,2.0,0.0,0.0,0.0,0,0,0,False,True,11,20200531,2020,5,31,4,6,22
@redsponpon 共感していただけて嬉しいです😂, 共感していただけて嬉しいです😂,2020-05-31 04:28:00+00:00,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,16,20200531,2020,5,31,4,6,22
@n_uvao ありがとうございます🥰, ありがとうございます🥰,2020-05-31 04:26:00+00:00,0.0,0.0,41.0,10.0,0.2439024390243902,0.0,0.0,0.0,0.0,10.0,0,0,0,False,True,12,20200531,2020,5,31,4,6,22
@mocochokomaru いつでも乗っかっちゃってます😂, いつでも乗っかっちゃってます😂,2020-05-31 04:26:00+00:00,0.0,0.0,33.0,1.0,0.0303030303030303,0.0,1.0,0.0,0.0,0.0,0,0,0,False,True,16,20200531,2020,5,31,4,6,22
@kujira3150 ほんと、舐められてます😣, ほんと、舐められてます😣,2020-05-31 04:26:00+00:00,1.0,0.0,34.0,1.0,0.0294117647058823,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,13,20200531,2020,5,31,4,6,22
飼い主の守り方を間違えているみるく🐶 https://t.co/NKBv8P22Kv,飼い主の守り方を間違えているみるく🐶 ,2020-05-29 21:59:00+00:00,881.0,27.0,15279.0,2914.0,0.1907192879115125,7.0,154.0,10.0,0.0,279.0,0,4180,1556,True,False,19,20200529,2020,5,29,21,4,22
最近はだいたいこの体勢で寝てます💤 https://t.co/q6QdqcqaVn,最近はだいたいこの体勢で寝てます💤 ,2020-05-29 12:13:00+00:00,438.0,7.0,7611.0,1092.0,0.1434765471028774,3.0,115.0,5.0,0.0,210.0,1,2115,313,True,False,18,20200529,2020,5,29,12,4,22
"@Rbysx5xB7eLJmG8 こちらこそありがとうございます🥰
看護師なんですね!!
みるく共々仲良くしていただけたら嬉しいです💞
よろしくお願い致します😊", こちらこそありがとうございます🥰 看護師なんですね みるく共々仲良くしていただけたら嬉しいです💞 よろしくお願い致します😊,2020-05-27 03:08:00+00:00,1.0,0.0,60.0,2.0,0.0333333333333333,0.0,1.0,0.0,0.0,0.0,0,0,0,False,True,62,20200527,2020,5,27,3,2,22
@lala65884361 こーやってすぐいじけちゃうんです🤣, こーやってすぐいじけちゃうんです🤣,2020-05-26 12:22:00+00:00,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,18,20200526,2020,5,26,12,1,22
@NwLAFThPCg9erP6 ありがとうございます💞, ありがとうございます💞,2020-05-26 12:01:00+00:00,1.0,0.0,34.0,1.0,0.0294117647058823,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,12,20200526,2020,5,26,12,1,22
"夕食の間、かまわなかったらいじけてた🤣🤣
#犬好きさんと繋がりたい https://t.co/Rg5ySiVqFr",夕食の間、かまわなかったらいじけてた🤣🤣 犬好きさんと繋がりたい ,2020-05-26 11:46:00+00:00,396.0,5.0,4223.0,685.0,0.162206961875444,4.0,85.0,2.0,0.0,42.0,0,1307,151,True,False,33,20200526,2020,5,26,11,1,22
@ue260227 ありがとうございます💞, ありがとうございます💞,2020-05-26 11:21:00+00:00,1.0,0.0,60.0,2.0,0.0333333333333333,1.0,0.0,0.0,0.0,0.0,0,0,0,False,True,12,20200526,2020,5,26,11,1,22
@akanekomie ありがとうございます😍, ありがとうございます😍,2020-05-26 11:21:00+00:00,1.0,0.0,39.0,1.0,0.0256410256410256,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,12,20200526,2020,5,26,11,1,22
@lucky_doragon お祝いのお言葉ありがとうございます🥰, お祝いのお言葉ありがとうございます🥰,2020-05-26 11:20:00+00:00,1.0,0.0,19.0,1.0,0.0526315789473684,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,19,20200526,2020,5,26,11,1,22
@yuzu05yuzu05 ありがとうございます💞, ありがとうございます💞,2020-05-26 09:06:00+00:00,1.0,0.0,24.0,1.0,0.0416666666666666,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,12,20200526,2020,5,26,9,1,22
"@pink11_hytnrs30 ありがとうございます💞
絵文字素敵です😍
毎日元気を目標に過ごしたいです🥰", ありがとうございます💞 絵文字素敵です😍 毎日元気を目標に過ごしたいです🥰,2020-05-26 09:06:00+00:00,1.0,0.0,25.0,1.0,0.04,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,38,20200526,2020,5,26,9,1,22
@Suzuka3228 とっても幸せです🥰, とっても幸せです🥰,2020-05-26 09:05:00+00:00,1.0,0.0,17.0,2.0,0.1176470588235294,0.0,0.0,0.0,0.0,1.0,0,0,0,False,True,10,20200526,2020,5,26,9,1,22
@ue260227 ありがとうございます💞, ありがとうございます💞,2020-05-26 09:04:00+00:00,1.0,0.0,70.0,2.0,0.0285714285714285,1.0,0.0,0.0,0.0,0.0,0,0,0,False,True,12,20200526,2020,5,26,9,1,22
"@ue260227 今日も元気いっぱいみるくです🥰
ありがとうございます💞", 今日も元気いっぱいみるくです🥰 ありがとうございます💞,2020-05-26 09:04:00+00:00,1.0,0.0,82.0,2.0,0.024390243902439,1.0,0.0,0.0,0.0,0.0,0,0,0,False,True,28,20200526,2020,5,26,9,1,22
"@mamuiicha そうですよね😣
ほんと、気をつけないと😭", そうですよね😣 ほんと、気をつけないと😭,2020-05-26 09:03:00+00:00,1.0,0.0,37.0,1.0,0.027027027027027,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,21,20200526,2020,5,26,9,1,22
"@yamo_saku お祝いのお言葉ありがとうございます🥰
 こちらこそ、よろしくお願い致します💞", お祝いのお言葉ありがとうございます🥰  こちらこそ、よろしくお願い致します💞,2020-05-26 09:03:00+00:00,0.0,0.0,41.0,4.0,0.0975609756097561,0.0,2.0,0.0,0.0,2.0,0,0,0,False,True,39,20200526,2020,5,26,9,1,22
@Yuzu190211 ありがとうございます🥰, ありがとうございます🥰,2020-05-26 09:03:00+00:00,1.0,0.0,36.0,1.0,0.0277777777777777,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,12,20200526,2020,5,26,9,1,22
"@mamuiicha お返事遅くなり申し訳ございません😢
ご心配ありがとうございます💞
前に、骨を盗みたべられたことがあったので、それからは気をつけるようにしています😭", お返事遅くなり申し訳ございません😢 ご心配ありがとうございます💞 前に、骨を盗みたべられたことがあったので、それからは気をつけるようにしています😭,2020-05-25 16:56:00+00:00,1.0,0.0,72.0,7.0,0.0972222222222222,1.0,1.0,0.0,0.0,4.0,0,0,0,False,True,74,20200525,2020,5,25,16,0,22
"@wAfpk0cEv2AE51c 本当ですよね🥰
愛おしいです💞", 本当ですよね🥰 愛おしいです💞,2020-05-25 16:55:00+00:00,1.0,0.0,33.0,1.0,0.0303030303030303,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,16,20200525,2020,5,25,16,0,22
"@SakuRa_Yamo お返事遅くなりすみません😢
同じ名前なんですね!!
勝手に親近感持っちゃいます🥰
フォロバさせていただきました
よろしくお願い致します💞", お返事遅くなりすみません😢 同じ名前なんですね 勝手に親近感持っちゃいます🥰 フォロバさせていただきました よろしくお願い致します💞,2020-05-25 16:55:00+00:00,1.0,0.0,111.0,4.0,0.036036036036036,1.0,1.0,0.0,0.0,1.0,0,0,0,False,True,67,20200525,2020,5,25,16,0,22
"@23Donghae お返事遅くなりました😢すみません😭
前に骨を盗み食べたことがあったので😣
それからは我が家も気をつけるようにしてます😭", お返事遅くなりました😢すみません😭 前に骨を盗み食べたことがあったので😣 それからは我が家も気をつけるようにしてます😭,2020-05-25 16:53:00+00:00,0.0,0.0,18.0,1.0,0.0555555555555555,0.0,1.0,0.0,0.0,0.0,0,0,0,False,True,60,20200525,2020,5,25,16,0,22
"@Suzuka3228 そうですね😭
いつも頑張ってくれてます😥", そうですね😭 いつも頑張ってくれてます😥,2020-05-25 16:52:00+00:00,1.0,0.0,45.0,2.0,0.0444444444444444,1.0,0.0,0.0,0.0,0.0,0,0,0,False,True,21,20200525,2020,5,25,16,0,22
@ikutoginji 私も毎日仕事に行くのが辛くなります😭, 私も毎日仕事に行くのが辛くなります😭,2020-05-25 16:51:00+00:00,1.0,0.0,39.0,1.0,0.0256410256410256,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,19,20200525,2020,5,25,16,0,22
@chai66428565 こっちが悲しくなっちゃいますよね😭, こっちが悲しくなっちゃいますよね😭,2020-05-25 16:50:00+00:00,1.0,0.0,111.0,3.0,0.027027027027027,1.0,1.0,0.0,0.0,0.0,0,0,0,False,True,18,20200525,2020,5,25,16,0,22
@fuku68110058 可哀想になりますよね😥😥, 可哀想になりますよね😥😥,2020-05-25 16:50:00+00:00,1.0,0.0,49.0,2.0,0.0408163265306122,0.0,1.0,0.0,0.0,0.0,0,0,0,False,True,13,20200525,2020,5,25,16,0,22
@mitu02769550 @n_uvao 愛おしいですよね🥰,  愛おしいですよね🥰,2020-05-25 16:50:00+00:00,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,11,20200525,2020,5,25,16,0,22
@kujira3150 お腹の上です😂, お腹の上です😂,2020-05-25 16:49:00+00:00,1.0,0.0,29.0,1.0,0.0344827586206896,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,8,20200525,2020,5,25,16,0,22
@sabaosama_ayaka ありがとうございます😍, ありがとうございます😍,2020-05-25 16:49:00+00:00,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,12,20200525,2020,5,25,16,0,22
@ue260227 ありがとうございます💞, ありがとうございます💞,2020-05-25 16:49:00+00:00,1.0,0.0,58.0,2.0,0.0344827586206896,1.0,0.0,0.0,0.0,0.0,0,0,0,False,True,12,20200525,2020,5,25,16,0,22
@matsu_z50 ありがとうございます🥰, ありがとうございます🥰,2020-05-25 16:48:00+00:00,1.0,0.0,55.0,2.0,0.0363636363636363,0.0,1.0,0.0,0.0,0.0,0,0,0,False,True,12,20200525,2020,5,25,16,0,22
@kanoshioreo ありがとうございます😍, ありがとうございます😍,2020-05-25 16:48:00+00:00,1.0,0.0,34.0,1.0,0.0294117647058823,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,12,20200525,2020,5,25,16,0,22
@fumichan112 お祝いのお言葉ありがとうございます💞, お祝いのお言葉ありがとうございます💞,2020-05-25 16:48:00+00:00,1.0,0.0,62.0,3.0,0.0483870967741935,0.0,2.0,0.0,0.0,0.0,0,0,0,False,True,19,20200525,2020,5,25,16,0,22
@4696paru ありがとうございます🥰, ありがとうございます🥰,2020-05-25 16:48:00+00:00,1.0,0.0,18.0,1.0,0.0555555555555555,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,12,20200525,2020,5,25,16,0,22
@sena_1_1_0 ありがとうございます😍, ありがとうございます😍,2020-05-25 16:47:00+00:00,1.0,0.0,25.0,1.0,0.04,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,12,20200525,2020,5,25,16,0,22
"@3YE3Wu52glQezrc お祝いのお言葉ありがとうございます💞
楽しい1年になったらいいな😊", お祝いのお言葉ありがとうございます💞 楽しい年になったらいいな😊,2020-05-25 16:47:00+00:00,1.0,0.0,67.0,2.0,0.0298507462686567,0.0,1.0,0.0,0.0,0.0,0,0,0,False,True,33,20200525,2020,5,25,16,0,22
"@Mallonglace0915 ありがとうございます😍
絵文字素敵ですね🥰", ありがとうございます😍 絵文字素敵ですね🥰,2020-05-25 16:46:00+00:00,1.0,0.0,16.0,1.0,0.0625,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,22,20200525,2020,5,25,16,0,22
"@RaTosie お祝いのお言葉ありがとうございます😊
ハッピーな1年になれたらいいな💞", お祝いのお言葉ありがとうございます😊 ハッピーな年になれたらいいな💞,2020-05-25 16:46:00+00:00,1.0,0.0,23.0,1.0,0.0434782608695652,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,35,20200525,2020,5,25,16,0,22
@Namiwanyukiwan お祝いのお言葉ありがとうございます🥰, お祝いのお言葉ありがとうございます🥰,2020-05-25 16:45:00+00:00,1.0,0.0,49.0,1.0,0.0204081632653061,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,19,20200525,2020,5,25,16,0,22
@himetomofu3 ありがとうございます😍, ありがとうございます😍,2020-05-25 16:45:00+00:00,2.0,0.0,41.0,2.0,0.048780487804878,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,12,20200525,2020,5,25,16,0,22
"@yasasi0327 ありがとうございます💞
毎日元気に健やかに過ごしたいです💞", ありがとうございます💞 毎日元気に健やかに過ごしたいです💞,2020-05-25 16:45:00+00:00,1.0,0.0,15.0,1.0,0.0666666666666666,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,30,20200525,2020,5,25,16,0,22
"@Lu9bJmkWJx7YR1X お祝いのお言葉ありがとうございます🥰
毎日元気に過ごしていきたいです😊", お祝いのお言葉ありがとうございます🥰 毎日元気に過ごしていきたいです😊,2020-05-25 16:44:00+00:00,1.0,0.0,19.0,1.0,0.0526315789473684,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,36,20200525,2020,5,25,16,0,22
@ZuNegibo ありがとうございます😍, ありがとうございます😍,2020-05-25 16:44:00+00:00,1.0,0.0,13.0,1.0,0.0769230769230769,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,12,20200525,2020,5,25,16,0,22
@dachchux2 ありがとうございます🥰, ありがとうございます🥰,2020-05-25 16:43:00+00:00,1.0,0.0,23.0,2.0,0.0869565217391304,0.0,1.0,0.0,0.0,0.0,0,0,0,False,True,12,20200525,2020,5,25,16,0,22
"@eo7VXYO2dbs8VSz ありがとうございます🥰
楽しく過ごしていきたいです💞", ありがとうございます🥰 楽しく過ごしていきたいです💞,2020-05-25 16:43:00+00:00,1.0,0.0,16.0,1.0,0.0625,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,27,20200525,2020,5,25,16,0,22
@miruchinon お祝いのお言葉ありがとうございます😍, お祝いのお言葉ありがとうございます😍,2020-05-25 16:43:00+00:00,1.0,0.0,24.0,5.0,0.2083333333333333,1.0,0.0,0.0,0.0,3.0,0,0,0,False,True,19,20200525,2020,5,25,16,0,22
"@pink11_hytnrs30 お祝いのお言葉ありがとうございます😍
絵文字素敵ですね🥰", お祝いのお言葉ありがとうございます😍 絵文字素敵ですね🥰,2020-05-25 16:43:00+00:00,1.0,0.0,37.0,1.0,0.027027027027027,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,29,20200525,2020,5,25,16,0,22
"@hitomin_rabi お祝いのお言葉ありがとうございます🥰
今年は毎日元気に楽しく過ごしたいです😊", お祝いのお言葉ありがとうございます🥰 今年は毎日元気に楽しく過ごしたいです😊,2020-05-25 16:43:00+00:00,1.0,0.0,15.0,1.0,0.0666666666666666,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,39,20200525,2020,5,25,16,0,22
"@grc7pine お祝いのお言葉ありがとうございます🥰
誕生日お祝いにカットしました😊
今年は元気に過ごしたいです🥺", お祝いのお言葉ありがとうございます🥰 誕生日お祝いにカットしました😊 今年は元気に過ごしたいです🥺,2020-05-25 16:42:00+00:00,1.0,0.0,23.0,1.0,0.0434782608695652,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,50,20200525,2020,5,25,16,0,22
"@n_uvao 3ミリにカットしました😂
嬉しいお言葉ありがとうございます😍", ミリにカットしました😂 嬉しいお言葉ありがとうございます😍,2020-05-25 16:42:00+00:00,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,30,20200525,2020,5,25,16,0,22
@mairosan0606 ありがとうございます🥰, ありがとうございます🥰,2020-05-25 16:42:00+00:00,1.0,0.0,22.0,1.0,0.0454545454545454,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,12,20200525,2020,5,25,16,0,22
"@ue260227 可愛いです😍
お祝いのお言葉ありがとうございます💞
元気な毎日を送りたいです😊", 可愛いです😍 お祝いのお言葉ありがとうございます💞 元気な毎日を送りたいです😊,2020-05-25 16:41:00+00:00,1.0,0.0,82.0,2.0,0.024390243902439,1.0,0.0,0.0,0.0,0.0,0,0,0,False,True,40,20200525,2020,5,25,16,0,22
@maki_t_ys ありがとうございます💞, ありがとうございます💞,2020-05-25 16:41:00+00:00,1.0,0.0,27.0,1.0,0.037037037037037,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,12,20200525,2020,5,25,16,0,22
@miyakotto ありがとうございます💞, ありがとうございます💞,2020-05-25 16:40:00+00:00,1.0,0.0,16.0,1.0,0.0625,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,12,20200525,2020,5,25,16,0,22
@ma_cha7192 お祝いのお言葉ありがとうございます🥰, お祝いのお言葉ありがとうございます🥰,2020-05-25 16:40:00+00:00,1.0,0.0,12.0,1.0,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,19,20200525,2020,5,25,16,0,22
@lilyyuka ありがとうございます💞, ありがとうございます💞,2020-05-25 16:40:00+00:00,1.0,0.0,14.0,1.0,0.0714285714285714,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,12,20200525,2020,5,25,16,0,22
@2x9YLvkNuwERvsT ありがとうございます💞💞, ありがとうございます💞💞,2020-05-25 16:39:00+00:00,1.0,0.0,13.0,2.0,0.1538461538461538,0.0,1.0,0.0,0.0,0.0,0,0,0,False,True,13,20200525,2020,5,25,16,0,22
@k7Erb4I8NuoVfs1 ありがとうございます😍, ありがとうございます😍,2020-05-25 16:39:00+00:00,1.0,0.0,12.0,1.0,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,12,20200525,2020,5,25,16,0,22
@ythdakm1970 ありがとうございます💞, ありがとうございます💞,2020-05-25 16:39:00+00:00,1.0,0.0,14.0,1.0,0.0714285714285714,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,12,20200525,2020,5,25,16,0,22
"@ZiE54BHUEKUHufE ありがとうございます💞
これからも元気でたくさん楽しい毎日を送りたいです🥰", ありがとうございます💞 これからも元気でたくさん楽しい毎日を送りたいです🥰,2020-05-25 16:39:00+00:00,1.0,0.0,7.0,1.0,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,38,20200525,2020,5,25,16,0,22
@AkiRanRan11 お祝いのお言葉ありがとうございます🥰, お祝いのお言葉ありがとうございます🥰,2020-05-25 16:39:00+00:00,1.0,0.0,9.0,1.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,19,20200525,2020,5,25,16,0,22
"@lala65884361 皆さんの応援のおかげですっかり元気になりました😊
優しいお言葉ありがとうございます💞", 皆さんの応援のおかげですっかり元気になりました😊 優しいお言葉ありがとうございます💞,2020-05-25 16:38:00+00:00,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,43,20200525,2020,5,25,16,0,22
@manchisan ありがとうございます🥰, ありがとうございます🥰,2020-05-25 16:38:00+00:00,1.0,0.0,8.0,1.0,0.125,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,12,20200525,2020,5,25,16,0,22
@LqSeg ありがとうございます💞, ありがとうございます💞,2020-05-25 16:38:00+00:00,1.0,0.0,18.0,1.0,0.0555555555555555,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,12,20200525,2020,5,25,16,0,22
@himahima0913 お祝いのお言葉ありがとうございます😍, お祝いのお言葉ありがとうございます😍,2020-05-25 16:38:00+00:00,1.0,0.0,18.0,1.0,0.0555555555555555,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,19,20200525,2020,5,25,16,0,22
"@YKK14021592 可愛いです😍
お祝いのお言葉ありがとうございます💞
今年は健康に元気に過ごしたいです🥺", 可愛いです😍 お祝いのお言葉ありがとうございます💞 今年は健康に元気に過ごしたいです🥺,2020-05-25 16:37:00+00:00,1.0,0.0,12.0,2.0,0.1666666666666666,0.0,1.0,0.0,0.0,0.0,0,0,0,False,True,44,20200525,2020,5,25,16,0,22
"@yokochappy3 ありがとうございます💞
楽しい毎日を送って欲しいです🥰", ありがとうございます💞 楽しい毎日を送って欲しいです🥰,2020-05-25 16:36:00+00:00,1.0,0.0,14.0,4.0,0.2857142857142857,0.0,3.0,0.0,0.0,0.0,0,0,0,False,True,28,20200525,2020,5,25,16,0,22
"@nori_wasshe ありがとうございます💞
健康に過ごしていきたいです😊", ありがとうございます💞 健康に過ごしていきたいです😊,2020-05-25 16:36:00+00:00,1.0,0.0,13.0,1.0,0.0769230769230769,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,27,20200525,2020,5,25,16,0,22
@kurukurudondon お祝いのお言葉ありがとうございます💞, お祝いのお言葉ありがとうございます💞,2020-05-25 16:36:00+00:00,1.0,0.0,8.0,1.0,0.125,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,19,20200525,2020,5,25,16,0,22
@iteryu1205 お祝いのお言葉ありがとうございます💞, お祝いのお言葉ありがとうございます💞,2020-05-25 16:36:00+00:00,1.0,0.0,8.0,1.0,0.125,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,19,20200525,2020,5,25,16,0,22
